bag_time,header_time,time_from_start,seq,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12,joint13,joint14,joint15,joint16,joint17,joint18,joint19,joint20
1780991705.636865,1780991705.6365056,0.0,5984,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,54.0,80.0,255.0,255.0,255.0,255.0,58.0,0.0,0.0,0.0,0.0
1780991705.6997662,1780991705.6934583,0.056952714920043945,5985,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,54.0,80.0,255.0,255.0,255.0,255.0,57.0,0.0,0.0,0.0,0.0
1780991705.7039976,1780991705.7036514,0.06714582443237305,5986,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,54.0,80.0,255.0,255.0,255.0,255.0,56.0,0.0,0.0,0.0,0.0
1780991705.73713,1780991705.7366579,0.10015225410461426,5987,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,54.0,80.0,255.0,255.0,255.0,255.0,56.0,0.0,0.0,0.0,0.0
1780991705.7703118,1780991705.77,0.13349437713623047,5988,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,53.0,80.0,255.0,255.0,255.0,255.0,56.0,0.0,0.0,0.0,0.0
1780991705.8037384,1780991705.8033404,0.16683483123779297,5989,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,53.0,80.0,255.0,255.0,255.0,255.0,55.0,0.0,0.0,0.0,0.0
1780991705.8370953,1780991705.8366923,0.20018672943115234,5990,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,53.0,80.0,255.0,255.0,255.0,255.0,55.0,0.0,0.0,0.0,0.0
1780991705.8704202,1780991705.869944,0.23343849182128906,5991,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,53.0,80.0,255.0,255.0,255.0,255.0,55.0,0.0,0.0,0.0,0.0
1780991705.9036496,1780991705.9033208,0.266815185546875,5992,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,53.0,80.0,255.0,255.0,255.0,255.0,54.0,0.0,0.0,0.0,0.0
1780991705.9492476,1780991705.9367425,0.30023694038391113,5993,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,53.0,80.0,255.0,255.0,255.0,255.0,54.0,0.0,0.0,0.0,0.0
1780991705.9843645,1780991705.9834237,0.34691810607910156,5994,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,53.0,80.0,255.0,255.0,255.0,255.0,54.0,0.0,0.0,0.0,0.0
1780991706.0040843,1780991706.0036993,0.36719369888305664,5995,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,52.0,80.0,255.0,255.0,255.0,255.0,54.0,0.0,0.0,0.0,0.0
1780991706.0370917,1780991706.0365746,0.400068998336792,5996,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,52.0,80.0,255.0,255.0,255.0,255.0,54.0,0.0,0.0,0.0,0.0
1780991706.07014,1780991706.069865,0.43335938453674316,5997,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,52.0,80.0,255.0,255.0,255.0,255.0,54.0,0.0,0.0,0.0,0.0
1780991706.103528,1780991706.103169,0.4666633605957031,5998,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,51.0,80.0,255.0,255.0,255.0,255.0,54.0,0.0,0.0,0.0,0.0
1780991706.1368291,1780991706.1365068,0.5000011920928955,5999,0.0,0.0,0.0,0.0,0.0,131.0,127.0,127.0,127.0,51.0,80.0,255.0,255.0,255.0,255.0,54.0,0.0,0.0,0.0,0.0
